#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCroyal_proclamations.3;Да здравствует [Root.GetHerHisCap] Величество [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени, [Root.GetTitle] Утёса и Западных земель, Правитель[Root.GetEndNitsa] города [Root.Capital.GetName], Щит Ланниспорта и Защитни[Root.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.3;Да здравствует [Root.GetTitle] Утеса!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.4;Да здравствует [From.GetHerHisCap] Величество [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] этого имени, [From.GetTitle] Утеса и Западных земель, Правитель[From.GetEndNitsa] города [From.Capital.GetName], Щит Ланниспорта и Защитни[From.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.4;Да здравствует [From.GetTitle] Утеса!;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.4;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.5;Да здравствует [Root.GetHerHisCap] Величество [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени, [Root.GetTitle] Простора и города [Root.Capital.GetName], Защитни[Root.GetTsaK] Марок, Страж Цитадели и Защитни[Root.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.5;Да здравствует [Root.GetTitle] Простора! ;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.6;Да здравствует [From.GetHerHisCap] Величество [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] этого имени, [From.GetTitle] Простора и города [From.Capital.GetName], Защитни[From.GetTsaK] Марок, Страж Цитадели и Защитни[From.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.6;Да здравствует [From.GetTitle] Простора! ;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.6;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.7;Да здравствует [Root.GetHerHisCap] Величество [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени. [Root.GetTitle] Трезубца и Речных Земель, Правитель[Root.GetEndNitsa] города [Root.Capital.GetName] и Защитни[Root.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.7;Да здравствует [Root.GetTitle] Трезубца! ;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.8;Да здравствует [From.GetHerHisCap] Величество [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] этого имени. [From.GetTitle] Трезубца и Речных Земель, Правитель[From.GetEndNitsa] города [From.Capital.GetName] и Защитни[From.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.8;Да здравствует [From.GetTitle] Трезубца! ;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.8;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.9;Да здравствует [Root.GetHerHisCap] Величество [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени, [Root.GetTitle] Горы и Долины, Правитель[Root.GetEndNitsa] города [Root.Capital.GetName], Страж[Root.GetEndNitsa] Кровавых Врат и Защитни[Root.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.9;Да здравствует [Root.GetTitle] Долины! ;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.10;Да здравствует [From.GetHerHisCap] Величество [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] этого имени, [From.GetTitle] Горы и Долины, Правитель[From.GetEndNitsa] города [From.Capital.GetName], Страж[From.GetEndNitsa] Кровавых Врат и Защитни[From.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.10;Да здравствует [From.GetTitle] Долины! ;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.10;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.11;Да здравствует [Root.GetHerHisCap] Величество [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени, [Root.GetTitle] и Правитель[Root.GetEndNitsa] города [Root.Capital.GetName], Страж[Root.GetEndNitsa] залива Разбитых кораблей и Защитни[Root.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.11;Да здравствует [Root.GetTitle]! ;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.12;Да здравствует [From.GetHerHisCap] Величество [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] этого имени, [From.GetTitle] и Правитель[From.GetEndNitsa] города [From.Capital.GetName], Страж[From.GetEndNitsa] залива Разбитых кораблей и Защитни[From.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.12;Да здравствует [From.GetTitle]! ;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.12;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.13;Да здравствует [Root.GetHerHisCap] Величество [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени, [Root.GetTitle] Дорна и Ройнаров. Владыка Соли, Моря и Гор, Правитель[Root.GetEndNitsa] города [Root.Capital.GetName] и Защитни[Root.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.13;Да здравствует [Root.GetTitle] Дорна! ;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.14;Да здравствует [From.GetHerHisCap] Величество [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] этого имени, [From.GetTitle] Дорна и Ройнаров. Владыка Соли, Моря и Гор, Правитель[From.GetEndNitsa] города [From.Capital.GetName] и Защитни[From.GetTsaK] государства.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.14;Да здравствует [From.GetTitle] Дорна! ;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.14;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.15;Да здравствует [Root.GetHerHisCap] Величество [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени после Серого Короля. [Root.GetKingQueen] Соли и Камня, [Root.GetSonDaughterCap] Морского ветра, [Root.GetKingQueen]-жнец города [Root.Capital.GetName] и Защитни[Root.GetTsaK] Железных островов.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.15;Да здравствует [Root.GetTitle]! ;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.16;Да здравствует [From.GetHerHisCap] Величество [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] [From.GetHerHis] имени после Серого Короля. [From.GetKingQueen] Соли и Камня, [From.GetSonDaughterCap] Морского ветра, [From.GetKingQueen]-жнец города [From.Capital.GetName] и Защитни[From.GetTsaK] Железных островов.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.16;Да здравствует [From.GetTitle]!;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.16;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.17;Да здравствует [Root.GetHerHis] Превосходительство [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени. [Root.GetTitle] Залива Скорби. Властитель[Root.GetEndNitsa] Миэрина, Астапора, и Юнкая, Правитель[Root.GetEndNitsa] города [Root.Capital.GetName] и наследни[Root.GetTsaK] Гискарской Империи.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.17;Да здравствует [Root.GetTitle]! ;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.18;Да здравствует [From.GetHerHis] Превосходительство [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal этого имени. [From.GetTitle] Залива Скорби. Властитель[From.GetEndNitsa] Миэрина, Астапора, и Юнкая, Правитель[From.GetEndNitsa] города [From.Capital.GetName] и наследни[From.GetTsaK] Гискарской Империи.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.18;Да здравствует [From.GetTitle]! ;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.18;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.19;Да здравствует [Root.GetHerHis] Великолепие [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal] этого имени, [Root.GetTitle] Новой Валирии, Великий Архонт колоний Старой Валирии, Защитни[Root.GetTsaK] Вольных городов и всея Востока, [Root.GetNickLordOfRealm] Ройны, Правитель[Root.GetEndNitsa] Старой Валирии и города [Root.Capital.GetName].;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.19;Да здравствует [From.GetTitle]!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.20;Да здравствует [From.GetHerHis] Великолепие [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal] этого имени, [From.GetTitle] Новой Валирии, Великий Архонт колоний Старой Валирии, Защитник[From.GetTsaK] Вольных городов и всея Востока, [From.GetNickLordOfRealm] Ройны, Правитель[From.GetEndNitsa] Старой Валирии и города [From.Capital.GetName].;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.20;Да здравствует [From.GetTitle]!;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.20;Проклясть [From.GetHerHis] имя!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.21;Да здравствует [Root.GetHerHisCap] Божественное Великолепие [Root.GetFirstNameoftheHouse], [Root.GetRegnalOrdinal_Yi_Ti] [From.GetTitle] Золотой Империи И-Ти. Добр[Root.GetAyaYy] Суверен Острова Лэнг и Нефритового Моря, Защитни[Root.GetTsaK] Пяти Фортов, Повелитель[Root.GetEndNitsa] Северных Маршей и Правитель[Root.GetEndNitsa] Небес.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.21;Да здравствует [Root.GetTitle]!;x;;;;;;;;;;;;
EVTDESCroyal_proclamations.22;Да здравствует [From.GetHerHisCap] Божественное Великолепие [From.GetFirstNameoftheHouse], [From.GetRegnalOrdinal_Yi_Ti] [From.GetTitle] Золотой Империи И-Ти. Добр[From.GetAyaYy] Суверен Острова Лэнг и Нефритового Моря, Защитни[From.GetTsaK] Пяти Фортов, Повелитель[From.GetEndNitsa] Северных Маршей и Правитель[From.GetEndNitsa] Небес.;x;;;;;;;;;;;;
EVTOPTAroyal_proclamations.22;Да здравствует [From.GetTitle]!;x;;;;;;;;;;;;
EVTOPTBroyal_proclamations.22;[From.GetSheHeCap] не бог!;x;;;;;;;;;;;;
