#CODE;ENGLISH;x;GERMAN;;SPANISH
b_tear_tower;Башня Рыдания;x;;;
b_numys;Нумис;x;;;
b_lentorys;Ленторис;x;;;
c_dyrenohill;Холмы Дирено;x;;;
b_dyrenohill;Холмы Дирено;x;;;
b_dyrenohill_castle;Холмы Дирено;x;;;
b_dyrenohill_temple;Холмы Дирено;x;;;
c_lyseneforest;Моргош;x;;;
b_lyseneforest;Лес Алхимика;x;;;
b_lyseneforest_castle;Башня Алхимика;x;;;
b_lyseneforest_temple;Лес Лисено;x;;;
d_lysene_disputed_lands;Спорные земли Лиса;x;;;
c_disputedforest;Спорный Лес;x;;;
b_disputedforest;Торговый Порт;x;;;
b_disputedforest_castle;Спорный Дом;x;;;
b_disputedforest_temple;Торговцы;x;;;
c_mesylosh;Месилош;x;;;
b_mesylosh;Месилош;x;;;
b_mesylosh_castle;Месилош;x;;;
b_mesylosh_temple;Месилош;x;;;
c_silkhead;Шелковая Голова;x;;;
b_silkhead;Шелковая Голова;x;;;
b_silkhead_castle;Шелковая Башня;x;;;
b_silkhead_temple;Шелковая Голова;x;;;
k_norvos;Норвос;x;;;
k_norvos_adj;Норвосск;x;;;
d_norvos;Норвос;x;;;
d_norvos_adj;Норвосск;x;;;
d_hills_of_norvos;Холмы Норвоса;x;;;
d_the_west_road;Западная Дорога;x;;;
d_bearded_priests;Бородатые жрецы;x;;;
BEARDED_PRIEST;Верховный Жрец;x;;;
BEARDED_PRIEST_FOA;Ваше Святейшество;x;;;
c_norvos;Норвос;x;;;
b_norvos;Норвос;x;;;
b_lowernorvos;Нижний Норвос;x;;;
b_noom;Нум;x;;;
b_narrah;Наррах;x;;;
b_nyel;Ниэл;x;;;
b_beardedtemple;Бородатые жрецы;x;;;
c_noyne;Нойна;x;;;
b_noyne;Порт Нойны;x;;;
b_noynecastle;Сторожевой пост Нойны;x;;;
b_noynetemple;Нойна;x;;;
c_mountnorvo;Гора Норво;x;;;
b_mountnorvo;Гора Норво;x;;;
b_mountnorvocastle;Гора Норво;x;;;
b_mountnorvotemple;Гора Норво;x;;;
c_dark_hills;Темные холмы;x;;;
b_dark_hills;Темные холмы;x;;;
b_dark_hillscastle;Темные холмы;x;;;
b_dark_hillstemple;Темные холмы;x;;;
c_dolronhor;Долронхор;x;;;
b_dolronhor_castle;Долронхор;x;;;
b_dolronhor;Долронхор;x;;;
b_dolronhor_temple;Долронхор;x;;;
c_nyelos;Ниэлос;x;;;
b_nyelos;Ниэлос;x;;;
b_nyeloscastle;Ниэлос;x;;;
b_nyelostemple;Ниэлос;x;;;
c_noomgate;Полуденные Врата;x;;;
b_noomgate;Полуденные Врата;x;;;
b_noomgatecastle;Полуденные Врата;x;;;
b_noomgatetemple;Полуденные Врата;x;;;
c_palhorvos;Палхорвос;x;;;
b_palhorvos;Палхорвос;x;;;
b_palhorvoscastle;Палхорвос;x;;;
b_palhorvostemple;Палхорвос;x;;;
c_ghoyanpass;Перевал Гойан;x;;;
b_ghoyanpass;Перевал Гойан;x;;;
b_ghoyanpasscastle;Страж Прохода;x;;;
b_ghoyanpasstemple;Перевал Гойан;x;;;
c_bearhills;Медвежьи холмы;x;;;
b_bearhills;Медвежьи холмы;x;;;
b_bearhillscastle;Медвежьи холмы;x;;;
b_bearhillstemple;Медвежьи холмы;x;;;
c_narros;Наррос;x;;;
b_narros;Наррос;x;;;
b_narroscastle;Наррос;x;;;
b_narrostemple;Наррос;x;;;
k_qohor;Квохор;x;;;
k_qohor_adj;Квохорск;x;;;
d_qohor;Квохор;x;;;
d_qohor_adj;Квохорск;x;;;
d_northern_forest_qohor;Квохорские леса;x;;;
d_southern_forest_qohor;Южный лес;x;;;
d_darkwater;Темноводная;x;;;
c_qohor;Квохор;x;;;
b_qohor;Квохор;x;;;
b_qohorwalls;Стены Квохора;x;;;
b_templeblackgoat;Черный Козел;x;;;
b_city_guard;Городская стража;x;;;
b_smiths_port;Кузнечий порт;x;;;
b_goat_tower;Башня Козла;x;;;
b_qovaros;Qovaros;x;;;
c_qhoyne;Коварос;x;;;
b_qhoyne;Койна;x;;;
b_qhoyne_castle;Койна;x;;;
b_qhoyne_temple;Койна;x;;;
c_satholik;Койна;x;;;
b_satholik;Сатолик;x;;;
b_satholik_castle;Сатолик;x;;;
b_satholik_temple;Сатолик;x;;;
c_qohorikcoast;Сатолик;x;;;
b_qohorikcoast;Побережье Квохора;x;;;
b_qohorikcoast_castle;Побережье Квохора;x;;;
b_qohorikcoast_temple;Побережье Квохора;x;;;
c_goatwood;Побережье Квохора;x;;;
b_goatwood;Козлиное древо;x;;;
b_goatwood_castle;Козлиное древо;x;;;
b_goatwood_temple;Козлиное древо;x;;;
c_qovosar;Козлиное древо;x;;;
b_qovosar;Ковосар;x;;;
b_qovosar_castle;Qovosar;x;;;
b_qovosar_temple;Qovosar;x;;;
c_deepforest;Густой Лес;x;;;
b_deepforest;Густой Лес;x;;;
b_deepforest_castle;Густой Лес;x;;;
b_deepforest_temple;Густой Лес;x;;;
c_sungrove;Солничная роща;x;;;
b_sungrove;Солничная роща;x;;;
b_sungrove_castle;Солничная роща;x;;;
b_sungrove_temple;Солничная роща;x;;;
c_malhor;Малхор;x;;;
b_malhor;Малхор;x;;;
b_malhor_castle;Малхор;x;;;
b_malhor_temple;Малхор;x;;;
c_darkbridge;Темный мост;x;;;
b_darkbridge;Темный мост;x;;;
b_darkbridge_castle;Темный мост;x;;;
b_darkbridge_temple;Темный мост;x;;;
c_watersmeet;Встречные воды;x;;;
b_watersmeet;Встречные воды;x;;;
b_watersmeet_castle;Встречные воды;x;;;
b_watersmeet_temple;Встречные воды;x;;;
k_lorath;Лорат;x;;;
k_lorath_adj;Лоратийск;x;;;
d_lorath;Лорат;x;;;
d_lorath_adj;Лоратийск;x;;;
d_prince_lorath;Лорат;x;;;
d_prince_lorath_adj;Лоратийск;x;;;
HARVESTPRINCE;Принцев урожай;x;;;
d_lorath_bay;Лоратийский залив;x;;;
d_the_axe;Секира;x;;;
c_lorath;Лорат;x;;;
b_lorath;Лорат;x;;;
b_shivering_port;Дрожащий порт;x;;;
b_archons_keep;Застава Архонта;x;;;
b_great_tower;Великая Башня;x;;;
b_moon;Месяц;x;;;
b_asilath;Эсилат;x;;;
b_Ibewos;Ибевос;x;;;
c_lorassyon;Лорассион;x;;;
b_lorassyon;Лорассион;x;;;
b_lorassyon_city;Лорассион;x;;;
b_lorassyon_temple;Лорассион;x;;;
c_lorathishore;Рыбная заводь;x;;;
b_lorathi_shore;Рыбная заводь;x;;;
b_lorathi_shorecastle;Рыбная заводь;x;;;
b_lorathi_shoretemple;Рыбная заводь;x;;;
c_elbateros;Элбатерос;x;;;
b_elbateros;Элбатерос;x;;;
b_elbateroscastle;Элбатерос;x;;;
b_elbaterostemple;Элбатерос;x;;;
c_shalorath;Шалорат;x;;;
b_shalorathcastle;Шалорат;x;;;
b_shalorath;Шалорат;x;;;
b_shalorathtemple;Шалорат;x;;;
c_morrogos;Моррогос;x;;;
b_morrogoscastle;Моррогос;x;;;
b_morrogos;Моррогос;x;;;
b_morrogostemple;Моррогос;x;;;
c_antaryonos;Антарионос;x;;;
b_antaryonos;Антарионос;x;;;
b_antaryonoscastle;Антарионос;x;;;
b_antaryonostemple;Антарионос;x;;;
c_willowsreach;Ивовые просторы;x;;;
b_willowsreach2;Ивовые просторы;x;;;
b_willowsreach1;Ивовые просторы;x;;;
b_willowsreach3;Ивовые просторы;x;;;
c_whitecliffs;Белые Скалы;x;;;
b_whitecliffs;Белые Скалы;x;;;
b_whitecliffscastle;Белые Скалы;x;;;
b_whitecliffstemple;Белые Скалы;x;;;
c_axe;Топор;x;;;
b_axe;Топор;x;;;
b_axecastle;Топор;x;;;
b_axetemple;Топор;x;;;
c_axemountains;Топорные горы;x;;;
b_axemountains;Топорные горы;x;;;
b_axemountainscastle;Топорные горы;x;;;
b_axemountainstemple;Топорные горы;x;;;
k_volantis;Волантис;x;;;
k_volantis_adj;Волантиск;x;;;
d_volantis;Волантис;x;;;
c_oldvolantis;Старый Волантис;x;;;
b_oldvolantis;Старый Волантис;x;;;
b_blackwall;Черная Стена;x;;;
b_dragon_hill;Холм Дракона;x;;;
b_rhoyne_manor;Имение Ройны;x;;;
b_blood_palace;Кровавый Дворец;x;;;
b_izulepsia;Изулепсия;x;;;
c_volantis;Волантис;x;;;
b_volantis;Волантис;x;;;
b_volantisgates;Западные Ворота;x;;;
b_volantisharbor;Гавань Волантиса;x;;;
b_brokengate;Новый Дворец;x;;;
b_longbridge;Длинный Мост;x;;;
c_volantenecoast;Арлиор Герон;x;;;
b_volantenecoast;Арлиор Герон;x;;;
b_volantenecoast_castle;Арлиор Герон;x;;;
b_volantenecoast_temple;Арлиор Герон;x;;;
d_orange_shore;Оранжевый Берег;x;;;
c_orangeplains;Добрый Порт;x;;;
b_orangeplains;Добрый Порт;x;;;
b_orangeplains_castle;Добрый Порт;x;;;
b_orangeplains_temple;Добрый Порт;x;;;
c_orangeislands;Олвис Мелл;x;;;
b_orangeislands;Олвис Мелл;x;;;
b_orangeislands_castle;Олвис Мелл;x;;;
b_orangeislands_temple;Олвис Мелл;x;;;
c_orangeshore;Земли Ведиса;x;;;
b_orangeshore;Земли Ведиса;x;;;
b_orangeshore_castle;Земли Ведиса;x;;;
b_orangeshore_temple;Земли Ведиса;x;;;
d_volontherys;Волон Терис;x;;;
c_volontherys;Волон Терис;x;;;
b_volontherys;Волон Терис;x;;;
b_volontherys_castle;Волон Терис;x;;;
b_volontherys_temple;Волон Терис;x;;;
d_valysar;Валисар;x;;;
c_valysar;Валисар;x;;;
b_valysar;Валисар;x;;;
b_valysar_castle;Валисар;x;;;
b_valysar_temple;Валисар;x;;;
d_selhorys;Селорис;x;;;
c_selhorys;Селорис;x;;;
b_selhorys;Селорис;x;;;
b_selhorys_castle;Селорис;x;;;
b_selhorys_temple;Селорис;x;;;
c_selhoru;Селору;x;;;
b_selhoru;Селору;x;;;
b_selhoru2;Селору;x;;;
b_selhoru3;Селору;x;;;
c_death_swamps;Болота Смерти;x;;;
b_death_swamps;Болота Смерти;x;;;
b_death_swamps2;Болота Смерти;x;;;
b_death_swamps3;Болота Смерти;x;;;
c_mavlys;Мавлис;x;;;
b_mavlys;Мавлис;x;;;
b_mavlys_castle;Мавлис;x;;;
b_mavlys_temple;Мавлис;x;;;
d_valonsar;Валон Сар;x;;;
c_valonsar;Валон Сар;x;;;
b_valonsar;Валон Сар;x;;;
b_valonsar_castle;Валон Сар;x;;;
b_valonsar_temple;Валон Сар;x;;;
c_armynar;Ар Минар;x;;;
b_armynar;Ар Минар;x;;;
b_armynar_castle;Ар Минар;x;;;
b_armynar_temple;Ар Минар;x;;;
d_volantene_disputed_lands;Спорные Земли Волантиса;x;;;
c_plainsofmaegys;Равнины Мейгиса;x;;;
b_plainsofmaegys;Равнины Мейгиса;x;;;
b_plainsofmaegys_castle;Равнины Мейгиса;x;;;
b_plainsofmaegys_temple;Равнины Мейгиса;x;;;
c_anyria;Анирия;x;;;
b_anyria;Анирия;x;;;
b_anyria_castle;Анирия;x;;;
b_anyria_temple;Анирия;x;;;
c_laboros;Лаборос;x;;;
b_laboros;Лаборос;x;;;
b_laboros_castle;Лаборос;x;;;
b_laboros_temple;Лаборос;x;;;
c_dreos;Дреос;x;;;
b_dreos;Дреос;x;;;
b_dreos_castle;Дреос;x;;;
b_dreos_temple;Дреос;x;;;
c_sar_mell;Сар Мелл;x;;;
b_sar_mell;Сар Мелл;x;;;
b_sar_mellcastle;Сар Мелл;x;;;
b_sar_melltemple;Сар Мелл;x;;;
b_flower_port;Цветущий Порт;x;;;
b_pale_tower;Бледная Башня;x;;;
c_little_valyria;Маленькая Валирия;x;;;
b_little_valyriacastle;Маленькая Валирия;x;;;
b_little_valyria;Маленькая Валирия;x;;;
b_little_valyriatemple;Маленькая Валирия;x;;;
c_vasyugys;Васигис;x;;;
b_vasyugys;Васигис;x;;;
b_vasyugyscastle;Васигис;x;;;
b_vasyugystemple;Васигис;x;;;
c_tyvis;Сарой;x;;;
b_tyvis;Сарой;x;;;
b_tyviscastle;Сарой;x;;;
b_tyvistemple;Сарой;x;;;
b_salt_town;Солевой Город;x;;;
b_mothers_canal;Проток Матери;x;;;
d_volaena;Волейна;x;;;
c_volaena;Волейна;x;;;
b_volaena;Волейна;x;;;
b_volaena2;Волейна;x;;;
b_volaena3;Волейна;x;;;
c_vysyria;Визирия;x;;;
b_vysyria;Визирия;x;;;
b_vysyria2;Визирия;x;;;
b_vysyria3;Визирия;x;;;
d_rhllor;Р'глор;x;;;
c_fiery_hand;Огненая рука;x;;;
c_templelordoflight;Великая Площадь;x;;;
b_templelordoflight;Храм Владыки Света;x;;;
b_the_great_plaza;Великая Площадь;x;;;
create_k_stepstones;Корона независимого Короля Пиратов Ступеней;x;;;
create_k_stepstones_desc;Пираты, которые скрывались в Ступенях, как правило никому не присягали, но теперь амбициозный пират способен возвыситься над всеми и провозгласить себя Королем Пиратов.;x;;;
k_stepstones;Ступени;x;;;
d_central_stepstones;Центральные ступени;x;;;
d_western_stepstones;Западные ступени;x;;;
d_northern_stepstones;Северные ступени;x;;;
d_southern_stepstones;Южные ступени;x;;;
c_sunstone;Солнечный Камень;x;;;
b_sunstone;Солнечный Камень;x;;;
c_bloodstone;Кровавый Камень;x;;;
b_bloodstone;Кровавый Камень;x;;;
c_greygallows;Серая Петля;x;;;
b_greygallows;Серая Петля;x;;;
c_darkden;Мрачная Пещера;x;;;
b_darkden;Мрачная Пещера;x;;;
c_theskulls;Черепа;x;;;
b_theskulls;Черепа;x;;;
c_torturersdeep;Бездонный Палач;x;;;
b_torturersdeep;Бездонный Палач;x;;;
c_lastrefuge;Последнее Прибежище;x;;;
b_lastrefuge;Последнее Прибежище;x;;;
c_shameisle;Остров Бесчестия;x;;;
b_shameisle;Остров Бесчестия;x;;;
c_wreckstone;Обломки Камня;x;;;
b_wreckstone;Обломки Камня;x;;;
c_littletyrosh;Маленький Тирош;x;;;
b_littletyrosh;Маленький Тирош;x;;;
b_littletyrosh_castle;Маленький Тирош;x;;;
b_littletyrosh_temple;Маленький Тирош;x;;;
k_rhoynar;Ройнары;x;;;
k_rhoynar_adj;Ройнарск;x;;;
d_golden_fields;Золотые Поля;x;;;
d_ar_noy;Ар Ной;x;;;
d_ny_sar;Ни Сар;x;;;
d_lower_rhoyne;Нижняя Ройна;x;;;
c_ny_sar;Ни Сар;x;;;
b_nymeria_palace;Дворец Нимерии;x;;;
b_ny_sar;Ни Сар;x;;;
b_ny_sartemple;Ни Сар;x;;;
b_sar_drea;Сар Дрэя;x;;;
b_ar_geryas;Ар Гериас;x;;;
b_dhielyas;Дейлиас;x;;;
b_pryellys;Приэллис;x;;;
c_ar_noy;Ар Ной;x;;;
b_ar_noy_castle;Дворей Ар Ной;x;;;
b_ar_noy;Ар Ной;x;;;
b_ar_noytemple;Ар Ной;x;;;
b_sar_erilidies;Сар Эрилидиес;x;;;
b_glohulu;Глохулу;x;;;
c_daggerlake;Кинжальное Озеро;x;;;
b_daggerlake;Кинжальное Озеро;x;;;
b_daggerlake_castle;Кинжальное Озеро;x;;;
b_daggerlake_temple;Кинжальное Озеро;x;;;
c_nyrhonvalley;Долина Ни Рон;x;;;
b_nyrhonvalley;Долина Ни Рон;x;;;
b_nyrhonvalleycastle;Долина Ни Рон;x;;;
b_nyrhonvalleytemple;Долина Ни Рон;x;;;
c_sar_lhorulys;Сар Лорулис;x;;;
b_sar_lhorulyscastle;Сар Лорулис;x;;;
b_sar_lhorulys;Сар Лорулис;x;;;
b_sar_lhorulystemple;Сар Лорулис;x;;;
c_northfields;Северные луга;x;;;
b_northfields;Северные луга;x;;;
b_northfieldscastle;Северные луга;x;;;
b_northfieldstemple;Северные луга;x;;;
c_goldenbridge;Золотой Мост;x;;;
b_goldenbridgecastle;Золотой Мост;x;;;
b_goldenbridge;Золотой Мост;x;;;
b_goldenbridgetemple;Золотой Мост;x;;;
c_lhorulu;Лорулу;x;;;
b_lhorulu;Лорулу;x;;;
b_lhorulucastle;Лорулу;x;;;
b_lhorulutemple;Лорулу;x;;;
c_sar_rhoy;Сар Рой;x;;;
b_sar_rhoy_castle;Сар Рой;x;;;
b_sar_rhoy;Сар Рой;x;;;
b_sar_rhoytemple;Сар Рой;x;;;
c_chroyane;Горести;x;;;
b_palace_of_love;Дворец Любви;x;;;
b_chroyane;Горести;x;;;
b_chroyanetemple;Горести;x;;;
b_sar_velrys;Сар Велрис;x;;;
b_sunfall;Солнцепад;x;;;
c_nor_salis;Нор Салис;x;;;
b_nor_saliscastle;Нор Салис;x;;;
b_nor_salis;Нор Салис;x;;;
b_nor_salistemple;Нор Салис;x;;;
c_rhoyne_vale;Долина Ройны;x;;;
b_rhoyne_valecastle;Долина Ройны;x;;;
b_rhoyne_vale;Долина Ройны;x;;;
b_rhoyne_valetemple;Долина Ройны;x;;;
c_ar_selrys;Ар Селрис;x;;;
b_ar_selrys;Ар Селрис;x;;;
b_ar_selrystown;Ар Селрис;x;;;
b_ar_selrystemple;Ар Селрис;x;;;
c_sarnath;Сарнат;x;;;
b_sarnath;Дворец Тысячи покоев;x;;;
b_sarnath1;Сарнат;x;;;
b_sarnath2;Сарнат;x;;;
b_sarnath3;Сарнат;x;;;
b_sarnath4;Сарнат;x;;;
b_sarnath5;Сарнат;x;;;
family_palace_baron_free_cities;Господин;x;;;
family_palace_baron_female_free_cities;Госпожа;x;;;
family_palace_baron_foa_free_cities;Ваше превосходительство;x;;;
MAGISTER;Магистр;x;;;
MAGISTER_FOA;Ваше превосходительство;x;;;
MISTRESS;Госпожа;x;;;
FREE_CITY_OF;Вольный Город;x;;;
SEALORD;Морской Владыка;x;;;
SEALORD_FOA;Милорд;x;;;
HIGH_MAGISTER;Верховный Магистр;x;;;
TRIARCH;Триарх;x;;;
TRIARCH_FOA;Мой Триарх;x;;;
ARCHON;Архонт;x;;;
