#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_ghosthills;Призрачные холмы;x;;;;;;;;;;;;
c_ghosthills;Призрачный холм;x;;;;;;;;;;;;
b_ghosthill;Призрачный холм;x;;;;;;;;;;;;
b_sevengraces;Семь Благодатей;x;;;;;;;;;;;;
b_nymercairn;Нимеркаирн;x;;;;;;;;;;;;
b_hallsofthedead;Мертвые чертоги;x;;;;;;;;;;;;
b_barrows;Курганы;x;;;;;;;;;;;;
c_thescourge;Плеть;x;;;;;;;;;;;;
b_cronetower;Башня Старицы;x;;;;;;;;;;;;
b_scourgeford;Плетевой брод;x;;;;;;;;;;;;
b_maidentower;Башня Девы;x;;;;;;;;;;;;
b_mothertower;Башня Матери;x;;;;;;;;;;;;
b_sunburst;Солнечный разрыв;x;;;;;;;;;;;;
c_thetor;Тор;x;;;;;;;;;;;;
b_amber;Амбер;x;;;;;;;;;;;;
b_bushmills;Бушмиллс;x;;;;;;;;;;;;
b_sharkshore;Акулий берег;x;;;;;;;;;;;;
b_thetor;Тор;x;;;;;;;;;;;;
b_septondunes; Дюн;x;;;;;;;;;;;;
b_sandgate;Песчаные ворота;x;;;;;;;;;;;;
c_ghastongrey;Серая крепость;x;;;;;;;;;;;;
b_ghastongrey;Серая крепость;x;;;;;;;;;;;;
b_greyport;Серая гавань;x;;;;;;;;;;;;
d_brimstone;Бримстон;x;;;;;;;;;;;;
c_nymerwell;Нимервелл;x;;;;;;;;;;;;
b_saltmines;Солёные Копи;x;;;;;;;;;;;;
b_dustyrock;Пыльная скала;x;;;;;;;;;;;;
b_silentwatcher;Тихий сторож;x;;;;;;;;;;;;
b_wellofnymeria;Колодец Нимерии;x;;;;;;;;;;;;
c_greatdesert;Великая Пустыня;x;;;;;;;;;;;;
b_scimitar;Сабля;x;;;;;;;;;;;;
b_drywell;Высохший колодец;x;;;;;;;;;;;;
b_sandford;Песчаный брод;x;;;;;;;;;;;;
c_hellholt;Адов Холм;x;;;;;;;;;;;;
b_hellholt;Адов Холм;x;;;;;;;;;;;;
b_brimstone;Серноводная;x;;;;;;;;;;;;
b_fiendshand;Адовы Врата;x;;;;;;;;;;;;
b_bloodbridge;Кровавый мост;x;;;;;;;;;;;;
b_jackalsden;Логово Джекела;x;;;;;;;;;;;;
b_tidmarsh;Тайдмарш;x;;;;;;;;;;;;
c_sandstone;Песчаник;x;;;;;;;;;;;;
b_sandstone;Песчаник;x;;;;;;;;;;;;
b_vart;Варт;x;;;;;;;;;;;;
b_goodsprings;Большой Родник;x;;;;;;;;;;;;
b_thefallen;Падший;x;;;;;;;;;;;;
b_shadysands;Тенистые Пески;x;;;;;;;;;;;;
d_redmountains;Красные Горы;x;;;;;;;;;;;;
c_theelbow;Локоть Дорна;x;;;;;;;;;;;;
b_thelantern;Фонарь Дорна;x;;;;;;;;;;;;
b_crossroads;Пересеченные Дороги;x;;;;;;;;;;;;
b_brightkeep;Яркий Хранитель;x;;;;;;;;;;;;
b_lastsept;Последняя;x;;;;;;;;;;;;
b_southpoint;Южная точка;x;;;;;;;;;;;;
c_starfall;Звездопад;x;;;;;;;;;;;;
b_starfall;Звездопад;x;;;;;;;;;;;;
b_palestonesword;Бледнокаменный Меч;x;;;;;;;;;;;;
b_nightfall;Сумрак;x;;;;;;;;;;;;
b_longlake_2;Длинное озеро;x;;;;;;;;;;;;
b_battlehill;Холм Сражений;x;;;;;;;;;;;;
b_wythmail;Висмейл;x;;;;;;;;;;;;
c_highhermitage;Горный Приют;x;;;;;;;;;;;;
b_highhermitage;Горный Приют;x;;;;;;;;;;;;
b_blackadder;Черная Гадюка;x;;;;;;;;;;;;
b_highridge;Высокая Гряда;x;;;;;;;;;;;;
b_woolfair;Вульфейр;x;;;;;;;;;;;;
b_sixhills;Шестихолмье;x;;;;;;;;;;;;
c_blackmont;Черногорье;x;;;;;;;;;;;;
b_blackmont;Черногорье;x;;;;;;;;;;;;
b_oakwood;Дубрава;x;;;;;;;;;;;;
b_dusthall;Пыльный чертог;x;;;;;;;;;;;;
b_allendale;Аллендейл;x;;;;;;;;;;;;
b_blackwell;Мрачный Источник;x;;;;;;;;;;;;
b_gravesend;Грейвсенд;x;;;;;;;;;;;;
d_stoneway;Каменный путь;x;;;;;;;;;;;;
c_yronwood;Айронвуд;x;;;;;;;;;;;;
b_yronwood;Айронвуд;x;;;;;;;;;;;;
b_wateresmeet;Уотерсмит;x;;;;;;;;;;;;
b_stonegate;Каменные ворота;x;;;;;;;;;;;;
b_bushelfair;Бушельфейр;x;;;;;;;;;;;;
b_waywatcher;Путь Сторожа;x;;;;;;;;;;;;
b_beerhall;Пивной Зал;x;;;;;;;;;;;;
b_bonesept;Костей;x;;;;;;;;;;;;
c_wyl;Виль;x;;;;;;;;;;;;
b_bonewaycastle;Замок Костяного Пути;x;;;;;;;;;;;;
b_summerfair;Летняя Ярмарка;x;;;;;;;;;;;;
b_burntwoods;Сгоревший лес;x;;;;;;;;;;;;
b_dusktower;Сумеречная башня;x;;;;;;;;;;;;
b_southmere;Южный пруд;x;;;;;;;;;;;;
c_vulturesroost;Насест Стервятника;x;;;;;;;;;;;;
b_hogfort;Хогфорт;x;;;;;;;;;;;;
b_dufftown;Даффтаун;x;;;;;;;;;;;;
b_vulturesroost;Насест Стервятника;x;;;;;;;;;;;;
b_stonebarrow;Каменный Курган;x;;;;;;;;;;;;
b_dedworth;Дедворт;x;;;;;;;;;;;;
c_kingsgrave;Королевский Курган;x;;;;;;;;;;;;
b_candlekeep;Кендлкип;x;;;;;;;;;;;;
b_deepcaves;Глубокие пещеры;x;;;;;;;;;;;;
b_whitefalls;Уайтфоллс;x;;;;;;;;;;;;
b_kingsgrave;Королевский Курган;x;;;;;;;;;;;;
b_littlemill;Литтлмилл;x;;;;;;;;;;;;
d_princespass;Принцев тракт;x;;;;;;;;;;;;
c_skyreach;Поднебесье;x;;;;;;;;;;;;
b_skyreach;Поднебесье;x;;;;;;;;;;;;
b_blackpool;Черный пруд;x;;;;;;;;;;;;
b_princessept;Принца;x;;;;;;;;;;;;
b_strawmarket;Строумаркет;x;;;;;;;;;;;;
b_falconhand;Соколова Рука;x;;;;;;;;;;;;
b_redmile;Редмил;x;;;;;;;;;;;;
c_princespass;Принцев тракт;x;;;;;;;;;;;;
b_towerofjoy;Башня Радости;x;;;;;;;;;;;;
b_reachgate;Ворота Простора;x;;;;;;;;;;;;
b_ortench;Ортенч;x;;;;;;;;;;;;
b_tattershall;Таттершолл;x;;;;;;;;;;;;
b_broadarch;Броадарх;x;;;;;;;;;;;;
e_rhoynar;Ройнар;x;;;;;;;;;;;;
e_rhoynar_adj;Ройнар;x;;;;;;;;;;;;
b_sunspear_sept;Солнечное Копье;x;;;;;;;;;;;;
b_plankytown_sept;Планкитаун;x;;;;;;;;;;;;
b_godsgrace_sept;Годсгрейс;x;;;;;;;;;;;;
b_saltshore_sept;Солёный берег;x;;;;;;;;;;;;
b_thetor_sept;Тор;x;;;;;;;;;;;;
b_ghosthill_sept;Гостхил;x;;;;;;;;;;;;
b_hellholt_sept;Хеллхолт;x;;;;;;;;;;;;
b_sandstone_sept;Песчаный Камень;x;;;;;;;;;;;;
b_starfall_sept;Звездопад;x;;;;;;;;;;;;
b_blackmont_sept;Блэкмонт;x;;;;;;;;;;;;
b_yronwood_sept;Айронвуд;x;;;;;;;;;;;;
b_boneway_sept;Боунвей;x;;;;;;;;;;;;
b_princespass_sept;Принцев Тракт;x;;;;;;;;;;;;
d_wide_way;Широкий путь;x;;;;;;;;;;;;
b_sandford;Сэндфорд;;;;;;;;;;;;;x
